Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_221419.824,1,0,4094,28,Node_129,25,17,25.000,17.000,1,0,0,1
20251217_221419.890,1,0,4106,14,Node_130,24,20,24.000,20.000,1,0,0,1
20251217_221419.890,1,0,4106,14,Node_131,19,3,19.000,3.000,1,0,0,1
20251217_221419.907,1,0,4107,14,Node_131,19,3,19.000,3.000,2,2,1,1
20251217_221419.914,1,0,4108,14,Node_111,13,11,13.000,11.000,2,1,1,2
20251217_221419.943,1,0,4113,28,Node_129,25,17,25.000,17.000,2,3,0,1
20251217_221420.234,1,0,4137,15,Node_133,24,21,24.000,21.000,1,0,0,1
20251217_221420.241,1,0,4138,15,Node_134,19,4,19.000,4.000,1,0,0,1
20251217_221420.242,1,0,4138,15,Node_134,19,4,19.000,4.000,2,3,0,1
20251217_221420.256,1,0,4140,15,Node_135,13,10,13.000,10.000,1,0,0,1
20251217_221420.256,1,0,4140,0,Node_2,19,11,19.000,11.000,6,0,0,4
20251217_221420.257,1,0,4140,0,Node_3,19,9,19.000,9.000,7,0,0,4
20251217_221420.258,1,0,4140,0,Node_4,18,10,18.000,10.000,6,0,0,4
20251217_221420.258,1,0,4140,0,Node_5,20,10,20.000,10.000,7,0,0,4
20251217_221420.286,1,0,4144,29,Node_132,25,18,25.000,18.000,1,4,0,1
20251217_221420.586,1,0,4184,16,Node_136,24,22,24.000,22.000,1,0,0,1
20251217_221420.587,1,0,4184,16,Node_137,19,5,19.000,5.000,1,0,0,1
20251217_221420.588,1,0,4184,16,Node_137,19,5,19.000,5.000,2,3,0,1
20251217_221420.588,1,0,4184,1,Node_7,19,10,19.000,10.000,4,0,0,4
20251217_221420.589,1,0,4184,1,Node_7,19,10,19.000,10.000,5,0,0,4
20251217_221420.589,1,0,4184,1,Node_7,19,10,19.000,10.000,6,0,0,4
20251217_221420.589,1,0,4184,1,Node_85,21,10,21.000,10.000,5,0,0,4
20251217_221420.608,1,0,4185,16,Node_138,13,9,13.000,9.000,1,0,0,1
20251217_221420.629,1,0,4187,30,Node_139,25,19,25.000,19.000,1,0,0,1
