RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
24,Node_389,30,-1,23,0,0,1,3,4,0,1
24,Node_388,30,-2,24,0,0,0,4,6,0,1
24,Node_387,30,-3,25,0,0,0,4,6,0,1
24,Node_386,30,-4,26,0,0,1,3,6,0,1
24,Node_385,30,-5,27,0,0,1,3,6,0,1
24,Node_384,29,-5,26,0,0,2,2,0,0,0
24,Node_383,29,-4,25,0,0,1,3,2,0,1
24,Node_382,29,-3,24,0,0,1,3,2,0,1
24,Node_381,29,-2,23,0,0,0,4,10,0,1
24,Node_380,29,-1,22,0,0,1,3,4,0,1
24,Node_379,26,-1,21,0,0,2,2,0,0,0
24,Node_378,26,-2,20,0,0,0,4,8,0,1
24,Node_377,26,-3,21,0,0,1,3,2,0,1
24,Node_376,26,-4,22,0,0,1,3,2,0,1
24,Node_375,26,-5,23,0,0,1,3,4,0,1
24,Node_374,27,-5,24,0,0,2,2,2,0,0
24,Node_373,27,-4,23,0,0,1,3,4,0,1
24,Node_372,27,-3,22,0,0,1,3,4,0,1
24,Node_371,27,-1,20,0,0,0,4,8,0,1
24,Node_370,27,0,19,0,0,1,3,2,0,1
24,Node_369,27,1,18,0,0,1,3,2,0,1
24,Node_368,27,2,17,0,0,1,3,2,0,1
24,Node_367,25,2,15,0,0,1,3,8,0,1
24,Node_366,25,3,14,0,0,2,2,0,0,0
24,Node_365,29,3,18,0,0,1,3,12,0,1
24,Node_364,30,5,17,0,0,2,2,0,0,0
24,Node_363,30,8,14,0,0,1,3,12,0,1
24,Node_362,30,7,15,0,0,1,3,12,0,1
24,Node_361,30,6,16,0,0,1,3,10,0,1
24,Node_360,31,6,17,0,0,1,3,14,0,1
24,Node_359,31,7,16,0,0,0,4,10,0,1
24,Node_358,31,8,15,0,0,1,3,2,0,1
24,Node_357,31,9,14,0,0,1,3,2,0,1
24,Node_356,31,10,15,0,0,1,3,2,0,1
24,Node_355,32,11,17,0,0,1,3,4,0,1
24,Node_354,32,12,16,0,0,1,3,4,0,1
24,Node_353,12,-3,25,0,2,1,1,0,1,0
24,Node_352,32,13,15,0,0,1,3,4,0,1
24,Node_351,12,-4,24,0,0,2,2,0,0,0
24,Node_350,31,17,18,0,0,0,4,6,0,1
24,Node_349,31,16,17,0,0,0,4,4,0,1
24,Node_348,30,14,14,0,0,2,2,4,0,0
24,Node_347,31,15,16,0,0,1,3,4,0,1
24,Node_346,30,13,13,0,0,1,3,6,0,1
24,Node_345,10,-3,23,0,1,1,2,0,0,0
24,Node_344,31,14,15,0,0,1,3,6,0,1
24,Node_343,10,-2,22,0,1,1,2,0,0,0
24,Node_342,31,13,14,0,0,0,4,8,0,1
24,Node_341,10,-1,21,0,2,0,2,0,0,0
24,Node_340,31,12,15,0,0,1,3,4,0,1
24,Node_339,10,0,20,0,1,1,2,0,0,0
24,Node_338,31,11,16,0,0,0,4,4,0,1
24,Node_337,10,1,19,0,1,1,2,0,0,0
24,Node_336,30,11,15,0,0,2,2,0,0,0
24,Node_335,10,2,18,0,2,0,2,0,0,0
24,Node_334,30,10,14,0,0,1,3,2,0,1
24,Node_333,10,3,17,0,1,1,2,0,0,0
24,Node_332,30,9,13,0,0,0,4,14,0,1
24,Node_331,10,4,16,0,1,1,2,0,0,0
24,Node_330,28,13,11,0,0,1,3,8,0,1
24,Node_329,28,12,10,0,0,1,3,2,0,1
24,Node_328,28,11,11,0,0,1,3,2,0,1
24,Node_327,28,10,12,0,0,1,3,2,0,1
24,Node_326,28,9,11,0,0,1,3,12,0,1
24,Node_325,27,-2,21,0,0,0,4,16,0,1
24,Node_324,28,-2,22,0,0,1,3,10,0,1
24,Node_323,14,20,18,0,2,1,1,0,1,0
24,Node_322,28,-1,21,0,0,0,4,10,0,1
